feature,count,mean,std,min,25%,50%,75%,max
age,400.0,51.5625,16.98299588184626,2.0,42.0,55.0,64.0,90.0
bp,400.0,76.575,13.48978542368048,50.0,70.0,80.0,80.0,180.0
sg,400.0,1.0177124999999998,0.005434028470070222,1.005,1.015,1.02,1.02,1.025
al,400.0,0.9,1.3131301447085724,0.0,0.0,0.0,2.0,5.0
su,400.0,0.395,1.040038075262145,0.0,0.0,0.0,0.0,5.0
rbc,400.0,0.1175,0.3224184146186645,0.0,0.0,0.0,0.0,1.0
pc,400.0,0.19,0.3927922024247863,0.0,0.0,0.0,0.0,1.0
pcc,400.0,0.105,0.3069373328804912,0.0,0.0,0.0,0.0,1.0
ba,400.0,0.055,0.22826577307580467,0.0,0.0,0.0,0.0,1.0
bgr,400.0,145.0625,75.26077367317394,22.0,101.0,121.0,150.0,490.0
bu,400.0,56.693000000000005,49.39525817145368,1.5,27.0,42.0,61.75,391.0
sc,400.0,2.9971249999999996,5.62888611375101,0.4,0.9,1.3,2.725,76.0
sod,400.0,137.63125,9.206331505380817,4.5,135.0,138.0,141.0,163.0
pot,400.0,4.57725,2.8213574005172823,2.5,4.0,4.4,4.8,47.0
hemo,400.0,12.5425,2.716489838487624,3.1,10.875,12.649999999999999,14.625,17.8
pcv,400.0,39.0825,8.162245363466695,9.0,34.0,40.0,44.0,54.0
wbcc,400.0,8298.5,2529.593813669576,2200.0,6975.0,8000.0,9400.0,26400.0
rbcc,400.0,4.73775,0.8414392357554238,2.1,4.5,4.8,5.1,8.0
htn,400.0,0.3675,0.48272799358383356,0.0,0.0,0.0,1.0,1.0
dm,400.0,0.3425,0.4751401323435103,0.0,0.0,0.0,1.0,1.0
cad,400.0,0.085,0.27923095246055746,0.0,0.0,0.0,0.0,1.0
appet,400.0,0.205,0.4042071976679987,0.0,0.0,0.0,0.0,1.0
pe,400.0,0.19,0.3927922024247863,0.0,0.0,0.0,0.0,1.0
ane,400.0,0.15,0.3575185993374057,0.0,0.0,0.0,0.0,1.0
class,400.0,0.6275,0.4840760001640622,0.0,0.0,1.0,1.0,1.0
